trial,cas_number,pred_value,real_value,error_value
130,92-24-0,-5.52101331059,-8.2,2.67898668941
131,88-99-3,-6.21265992445,-6.9,0.68734007555
132,517-09-9,-6.23153761167,-6.4,0.168462388329
133,56-23-5,-5.63669730981,-3.4,2.23669730981
134,19550-30-2,-5.52303185026,-4.7,0.823031850262
135,364-62-5,-5.52739012102,-6.9,1.37260987898
136,87-68-3,-5.58625442536,-5.1,0.486254425356
137,3970-62-5,-5.54323944902,-5.1,0.443239449015
138,239-64-5,-5.53437450847,-8.7,3.16562549153
139,2050-68-2,-6.0198887145,-7.0,0.980111285504
140,123-66-0,-5.8023427517,-5.7,0.102342751702
141,142-96-1,-5.5519555776,-5.6,0.0480444224019
142,578-06-3,-5.5365596299,-7.5,1.9634403701
143,59-31-4,-5.61904192499,-7.8,2.18095807501
144,97-23-4,-6.34646760281,-7.6,1.25353239719
145,594-83-2,-6.01356636542,-5.4,0.613566365418
146,2303-16-4,-5.5655559935,-5.7,0.134444006497
147,624-95-3,-5.57049750826,-4.5,1.07049750826
148,129-20-4,-5.54835265404,-8.9,3.35164734596
149,52663-63-5,-5.59879648202,-4.7,0.898796482017
150,106-99-0,-5.56692748623,-3.8,1.76692748623
151,52663-69-1,-5.54892808862,-5.1,0.448928088616
152,2622-26-6,-5.54662415045,-8.3,2.75337584955
153,32598-11-1,-5.55488981184,-7.3,1.74511018816
154,22259-30-9,-5.57213537457,-7.0,1.42786462543
155,67-72-1,-6.08446282426,-4.6,1.48446282426
156,102-82-9,-5.71407860386,-6.2,0.485921396144
157,107-13-1,-5.61358457478,-3.8,1.81358457478
158,63-75-2,-5.59981942974,-5.9,0.30018057026
159,103-70-8,-5.66854472546,-6.2,0.53145527454
160,111-68-2,-5.57488885976,-5.0,0.574888859762
161,81-81-2,-5.56081526292,-7.4,1.83918473708
162,1912-26-1,-5.60486565688,-6.9,1.29513434312
163,76-22-2,-5.59891921652,-5.1,0.498919216522
164,1982-49-6,-5.5792774925,-9.4,3.8207225075
165,56-54-2,-5.60485640724,-5.9,0.295143592758
166,1022-46-4,-5.62053198925,-8.7,3.07946801075
167,10004-44-1,-7.69417349339,-4.9,2.79417349339
168,584-02-1,-6.66784779531,-4.4,2.26784779531
169,5392-40-5,-6.79339144656,-7.0,0.206608553443
170,591-49-1,-6.09108892159,-5.9,0.191088921593
171,581-42-0,-6.7221315084,-7.3,0.577868491596
172,96-88-8,-5.74533652265,-6.5,0.754663477352
173,97-59-6,-5.83274711737,-6.1,0.26725288263
174,260-94-6,-5.73398823371,-7.2,1.46601176629
175,143-08-8,-5.73867068431,-5.9,0.161329315693
176,15310-01-7,-5.74082489532,-8.2,2.45917510468
177,2131-41-1,-5.7515936193,-7.4,1.6484063807
178,32598-10-0,-5.77008531369,-6.4,0.629914686311
179,76-75-5,-5.7664813038,-7.6,1.8335186962
180,107-04-0,-5.77685143146,-3.1,2.67685143146
181,105-66-8,-5.76173530415,-5.6,0.161735304153
182,71-43-2,-5.76263774756,-5.3,0.462637747555
183,124-04-9,-5.75648721152,-5.3,0.456487211516
184,108-87-2,-5.75416671301,-5.8,0.0458332869884
185,101-84-8,-5.75583167004,-8.9,3.14416832996
186,62-56-6,-5.77106063565,-2.8,2.97106063565
187,102-69-2,-5.75799146303,-5.3,0.457991463027
188,2642-98-0,-5.75409591562,-6.2,0.445904084382
189,3766-60-7,-5.75217148329,-7.3,1.54782851671
190,76-24-4,-5.76374282793,-3.9,1.86374282793
191,542-69-8,-5.75455868125,-4.1,1.65455868125
192,2367-82-0,-5.74566128415,-6.5,0.754338715847
193,75-83-2,-5.74863203409,-4.3,1.44863203409
194,481-06-1,-5.74287120314,-6.4,0.657128796861
195,638-42-6,-5.74258465217,-5.1,0.64258465217
196,627-59-8,-5.74123676322,-5.2,0.541236763218
197,120-80-9,-5.74098477222,-5.8,0.0590152277801
198,85-34-7,-5.74036050849,-6.7,0.959639491511
199,38380-08-4,-5.75037042668,-7.3,1.54962957332
200,37680-65-2,-5.75156401597,-7.5,1.74843598403
